ID,Nom,Lat,Lon,Date
416,Herrera,42.631667,-2.884167,1171
417,Tamaraes,39.616667,-8.55,1171
418,Zinna,52.02256,13.10467,1171
419,Novara di Sicilia,38.014167,15.131389,1172
420,Bon-Repos,48.211389,-3.133333,1172
421,Beaugerais,47.060833,1.167778,1172
422,Santo Spirito di Palermo,38.099167,13.362922,1172
423,Dargun,53.892222,12.861667,1172
424,Holme,55.153,10.35564,1172
425,La Blanche (Noirmoutier),47.02638,-2.2695,1172
426,Bindon,50.680278,-2.213333,1172
427,Whalley,53.82,-2.410722,1172
428,Abbeymahon,51.637248,-8.736246,1172
429,Bujedo de Juarros,42.645897,-3.024038,1172
430,Corazzo,39.061596,16.422969,1173
431,Ulmet,43.46532,4.63622,1173
432,Logumkloster,55.05667,8.95142,1173
433,Feniers,45.32356,2.77171,1173
434,Arnsburg,50.49388,8.79354,1173
435,Matallana,41.901111,-4.865278,1173
436,Sajazarra,42.413473,-2.817350,1174
437,Kolbatz,53.300556,14.813333,1174
438,Leubus,51.261667,16.469167,1175
439,Altzella,51.060278,13.276544,1175
440,Saint-Marcel,44.11648,1.47042,1175
441,Ovila,40.700833,-2.557222,1175
442,Ter Doest,51.28197,3.2024,1175
443,Robertsbridge,50.987222,0.498333,1176
444,Barbery,49.0257,-0.3455,1176
445,Roccadia,37.260556,15.029722,1176
446,Valdeiglesias,40.365833,-4.316667,1177
447,Sulejow,51.364583,19.878667,1177
448,Hradiste,50.524167,14.946667,1177
449,Saint-Maurice-de-Carnoet,47.801667,-3.533333,1177
450,Iranzu,42.750833,-2.038889,1178
451,Croxden,52.954444,-1.903611,1178
452,Assaroe,54.506944,-8.2,1178
453,Igris,46.0786,20.7888,1179
454,Ferraria,41.351856,14.168072,1179
455,Wachock,51.07486,21.01692,1179
456,Holy Cross,52.639722,-7.866667,1180
457,Midleton,51.908611,-8.171667,1180
458,Matina,39.576111,16.149722,1180
459,Hocht,50.898056,5.685556,1180
460,Jerpoint,52.50975,-7.162056,1180
461,Rivalta,44.85486,8.82666,1180
462,Cercanceaux,48.163056,2.750833,1181
463,Dunbrody,52.28362,-6.95889,1181
464,Zirc,47.262222,17.875,1182
465,Lehnin,52.32042,12.74446,1183
466,Pilis,47.693056,18.891111,1184
467,Abbeyleix,52.912778,-7.348611,1184
468,Valbenoite,45.42157,4.40019,1184
469,Kilcooly,52.942778,-6.706944,1184
470,Szentgotthard,46.953611,16.273056,1184
471,Benisson-Dieu de Boulogne-sur-Gesse,43.26846,0.65509,1184
472,Kappel,47.22739,8.526,1185
473,Koprzywnica,50.594722,21.573889,1185
474,Killenny,53.950963,-6.631064,1185
475,Marienfeld (Harsewinkel),51.94648,8.281086,1185
476,Santissima Trinita del Legno,39.549069,16.496595,1185
477,Oya,42.003129,-8.876396,1185
478,Oliva,54.410542,18.558864,1186
479,Aberconwy,53.2807,-3.8289,1186
480,Maceira Dao,40.615833,-7.816667,1186
481,Inch,54.336389,-5.729722,1187
482,Refech,32.95,35.883333,1187
483,Valcroissant,44.746111,5.431944,1188
484,Champagne,48.141667,-0.116667,1188
485,Haina,51.02993,8.9775,1188
486,Valsaintes,43.96473,5.60877,1188
487,Heisterbach,50.69437,7.21393,1189
488,Llantarnam,51.630556,-2.991667,1189
489,Monasterevin,53.139444,-7.0625,1189
490,Sala,42.566667,11.75,1189
491,Le Rivet,44.51797,-0.16393,1189
492,Bebenhausen,48.56132,9.0608,1190
493,Reinfeld,53.83203,10.48031,1190
494,Knockmoy,53.439444,-8.754167,1190
495,Paszto,47.918611,19.695278,1190
496,Glenluce,54.889167,-4.831389,1191
497,Lieu-Dieu en Ponthieu,50.005556,1.52,1191
498,Bonport,49.306389,1.134444,1191
499,Bloomkamp,53.06836,5.56666,1191
500,Charron,46.286389,-1.1,1191
501,Aduard,53.256944,6.460278,1192
502,Rude,54.83231,9.54517,1192
503,Buch,51.15218,12.98762,1192
504,Trinitas de Panormo,38.11368,13.36902,1192
505,Grey,54.535833,-5.558333,1193
506,Santa Maria di Roccamadore,38.140278,15.523333,1193
507,Osek,50.620686,13.694042,1193
508,As,57.216667,12.216667,1193
509,Piedra,41.193333,-1.7825,1194
510,San Pedro de Gumiel,41.760556,-3.683333,1194
511,Seica,40.032778,-8.783333,1195
512,Corcomroe,53.124167,-9.058333,1195
513,Casanova (Abruzzen),42.377953,13.867553,1195
514,Saint-Urbain,47.23168,7.84073,1195
515,Santa Maria del Galeso,40.507778,17.254444,1195
516,Marienberg (Burgenland),47.423191,16.564298,1196
517,Acquaformosa,39.724444,16.089444,1196
518,Le Bouschet-Vauluisant,45.608056,3.251944,1192
519,Cleeve,51.157325,-3.363664,1198
520,Valdedios,43.435833,-5.511111,1200
521,Kilshane,52.473333,-8.861667,1198
522,Cymer,52.758056,-3.896111,1198
523,Bredelar,51.417778,8.7725,1196
524,Eldena,54.08934,13.45319,1199
525,Mont-Sainte-Marie,46.77349,6.27983,1199
526,Comber,54.550278,-5.75,1200
527,Tinternparva,52.225556,-6.837222,1200
528,Glanawydan,52.132778,-7.416667,1200
529,Kilbeggan,53.368333,-7.501944,1200
530,Valle Crucis,52.989444,-3.183333,1201
531,San Galgano,43.14946,11.15565,1201
532,Ripalta di Puglia,41.861667,15.271944,1201
533,Dunkeswell,50.863333,-3.221389,1201
534,Bois-Grolland,46.524722,-1.547222,1201
535,Monfero,43.340278,-8.033333,1201
536,Villeneuve,47.122778,-1.533333,1201
537,Val-St-Lambert,50.593287,5.482661,1202
538,Sagittario,40.044444,16.156944,1202
539,Carta,45.7852,24.572,1202
540,Carracedo,42.570833,-6.731389,1203
541,Villanuevade Oscos,43.310278,-6.981111,1203
542,Acqualonga,45.053333,8.735278,1204
543,Beaulieu,50.816667,-1.45,1204
544,Duiske,52.54114,-6.95369,1204
